filename,ipa,allosaurus_eng2102_eng,ginic/full_dataset_train_3_wav2vec2-large-xlsr-53-buckeye-ipa,ctaguchi/wav2vec2-large-xlsr-japlmthufielta-ipa1000-ns,openai_whisper-large-v3-turbo_to_epitran,openai_whisper-medium.en_to_epitran
/complete/dr6/mcae0/sa2.wav,doʊnʔæskmitɨkɛɹiʔɨnʔɔliɹæglaɪkðæt,dɑntiæskmitəkæɹiɪnowliɹæɡlajkðæt,doʊʔæskmitukɛɛnɔliɹæɡlaɪkðæʔ,toɴaːsmit͡sɯkæwienɔlivæːɡlɑaːtːæ,dɑntæskmitəkæɹiænojliɹæɡlajkðæt.,dɑntæskmitəkæɹiænojliɹæɡlajkðæt.
/complete/dr6/mcae0/sx277.wav,ðəɹoʊzkʊsɑʒsmɛltswit,ðəɹowzkɪsajzsmɛldswit,ðʌɹoʊzkɪsɑʃsmɛltswiʔ,tevouskysaːʑsmeɔswi,ðəɹowzkɑsɑd͡ʒsmɛldswit.,ðəɹowzkɑsɑd͡ʒsmɛldswit.
/complete/dr6/mcae0/si817.wav,ðɪswʊlpɚvɪntflætfɔlzʔɨntoʊʔɪnʒɚɨs,ðɪswɪlpɹɪvɛntflætfɑɹzændtowlɪnd͡ʒɹ̩z,ðɪswʊlpɹɹ̩vɛnʔflætfɔzɛntʌlɛnʒɹ̩is,dɨswopɾuvɛnflaːrfazentɔuenʑøis,ðɪswɪlpɹɪvɛntflætfɔlzændtowɪnd͡ʒɹ̩iz.,ðɪswɪlpɹɪvɛntflætfɔlzændtowɪnd͡ʒɹ̩iz.
/complete/dr6/mcae0/si2077.wav,meɪbijuʔɛnmiwɪlɡɹ̩libʌtðiztʉʔeɪntɡoʊɪnoʊwɛə,mejbijuændmiwɪlɡɹ̩libʌtðistuejntiɡɔɪnowɛɹ,meɪbijuɛnmiwʌlɡɹʌldibʌtðiztueɪʔɡoʊʌnnoʊwɛ,mebijuːenmiːwuoɡɯɻlipatiːzt͡suːeingɑannɑwːɛ,"mejbijuændmiwɪl,ɡɹ̩li,bʌtðiztuejntɡowɪŋnowwɛɹ.","mejbijuændmiwɪl,ɡɹ̩li,bʌtðiztuejntɡowɪŋnowwɛɹ."
/complete/dr6/mcae0/sx97.wav,pɛŋgwɪnzlɪvnɪəðɪʔaɪsiænɑɹtɨk,pɛŋɡwɪnzlajvnwðəajsiænɑɹtək,pɛŋɡlɛnzlɪvn̩ɛðaɪsiænɑttʌ,peŋgwenzlivneːðeasɨjanaːtɨk,pɛŋɡwənzlajvnɪɹðəajsiæntɑɹktɪk.,pɛŋɡwənzlajvnɪɹðəajsiæntɑɹktɪk.
/complete/dr6/mcae0/sx367.wav,ðɨsɹ̩plʌʃʉzwɚsoʊɾæɾɛdɪskaʊntpɹaɪs,ðəsɹ̩pɹəʃuzwɹ̩sowdænədɪskæntpɹajs,ðʌsʌɹpɹʌsʃuzwʌsoʊɾæɾɛdɪskaʊʔpɹaɪs,tesːoipoʂiɯːzwusouɾæɾede̞sɯkaːnpɾais,ðəsɹ̩pləsʃuzwɹ̩sowldætədɪskawntpɹajs,ðəsɹ̩pləsʃuzwɹ̩sowldætədɪskawntpɹajs.
/complete/dr6/mcae0/si1447.wav,mɑkɹoʊʔɔgɨnɪzm̩zʔɑʔɔftɪnɚspɑnsbl̩fɔðəɹæpɪdspɔɪlɪdʒʔəvfuds,majɡɹowɔɹɡənɪzəmzɑɹæftənuzpɑsufɔɹðəɹæpədspjləd͡ʒʌvfudz,maɪkɹoʊɔɡʌnɪzʌmsɑɔftɪnɹɪspɑsʌlfɔðʌɹæpɪdspɔɪlɪdʒʌvfuds,maːkooɡne̞zɯnsaaftɨnwispaːswufoturaːpet͡ɕspoːded͡ʑafuds,majkɹowɔɹɡənɪzəmzɑɹɔfənɹispɑnsəbəlfɔɹðəɹæpədspojləd͡ʒʌvfudz.,majkɹowɔɹɡənɪzəmzɑɹɔfənɹispɑnsəbəlfɔɹðəɹæpədspojləd͡ʒʌvfudz.
/complete/dr6/mcae0/sx7.wav,nʌθɪŋʔɪzʔæzʔɔfɛnsɪvʔæzʔɪnɪsɛns,nʌθɪŋɪzæzəfɛnsɪvæzɪnəsəns,nʌθɪŋɪzæzɑfɛsɪvæzɛnɛsɛns,naθeɴezɛzafensevezenesɛns,nʌθɪŋɪzæzəfɛnsɪvæzɪnəsəns.,nʌθɪŋɪzæzəfɛnsɪvæzɪnəsəns.
/complete/dr6/mcae0/sx187.wav,ðeɪɔftɪngoʊaʊtʔɪnðivnɪŋ,ðejɔfənɡowawtɪnðəivnɪŋ,ðeɪɔftɪnɡoʊaʊʔɛnðiivnɪŋ,dejaːftɨnɡøwaljendeiːvneŋ,ðejɔfənɡowawtɪnðəivnɪŋ.,ðejɔfənɡowawtɪnðəivnɪŋ.
/complete/dr6/mcae0/sa1.wav,ʃiɦædʒʊdɑɹksʉtɨŋgɹʉsiwɔʃwʊɾəʔɔljɪɚ,ʃihædjɔdɑɹksəænɡɹisiwɔswɔljɪɹ,ʃihædʒɪdɑɹksuʔɛŋɡɹisiwɑʃwʊɾʌɑju,ɕihad͡ʑɯdaɾksuːengwisiwaːɕworɯaːjiː,ʃihædjɔɹdɑɹksutændɡɹisiwɑʃwɔtɹ̩ɔljɪɹ.,ʃihædjɔɹdɑɹksutændɡɹisiwɑʃwɔtɹ̩ɔljɪɹ.
/complete/dr6/fmju0/sx129.wav,ʔæŋgɔɹəkætsəfɹ̩ɪɚðɨnsaɪɨmis,ændɡɔɹəkætsʌfɹ̩iɹ̩ðænsajmiz,æŋɡɔɹʌkætsʌfɹ̩iɹ̩ðɛnsaɪmis,enɡoːkaːsɒføjɒdɛnsaːjmisɯ,æŋɡɔɹəkætsɑɹfɹ̩iɹ̩ðænsajəmiz.,ændɡɔɹəkætsɑɹfɹ̩iɹ̩ðænsajəmiz.
/complete/dr6/fmju0/si759.wav,tɹɪməʔɛksɛskleɪʔəweɪfɚmʔaʊɾɚʔɛdʒɨs,tɹɪmɛksɛsklejəwejfɹʌmawtɹ̩ɪd͡ʒəz,tʃɹɪmɛksɛskleɪʌweɪfʌmaʊɾɹ̩ɛdʒɪs,t͡ɕwɨmɛksaskwaiɔwajfɛ̃mawraɛd͡ʑɛz,tɹɪmɛksɛsklejəwejfɹʌmawtɹ̩ɛd͡ʒəz.,tɹɪmɛksɛsklejəwejfɹʌmawtɹ̩ɛd͡ʒəz.
/complete/dr6/fmju0/sa1.wav,ʃiɦædjɹ̩dɑɹksʉʔɨngɹisiwɑʃwɔɾɚʔɔljɪɹ̩,ʃihædjɔɹdɑksutɪnɡɹisiwɑʃwɔtɹ̩wljɪɹ,ʃihædjɹ̩dɔɡsutɪŋɡɹisiwɑʃwɔɾɹ̩oʊljɪɹ,ʂihaːdjodrɔːɡsɯːde̞nɡwisiwäʂwɔrao̞ːji,ʃihædjɔɹdɑɹksutɪnɡɹisiwɑʃwɔtɹ̩ɔljɪɹ.,ʃihædjɔɹdɑɹksutɪnɡɹisiwɑʃwɔtɹ̩ɔljɪɹ.
/complete/dr6/fmju0/si2019.wav,leɪɾɚjʉʃælnoʊwɨtbɛɾɹ̩,lejtɹ̩juʃælnowɪtbɛtɹ̩,leɪɾɹ̩juʃælnoʊɪʔbɛɾɹ̩,vɛrɛjiʂɛ̃ɔmnɛwɨbɛrɛ,lejtɹ̩juʃælnowɪtbɛtɹ̩.,lejtɹ̩juʃælnowɪtbɛtɹ̩.
/complete/dr6/fmju0/sx309.wav,ðəpɹʉfðɛtjuɑɹsikiŋʔɨznɔtəvɛlbl̩ʔɨnbʊks,ðəpɹufðætjuɑɹsikɪŋɪznɑtəvejləbəlɪnbʊks,ðʌpɹufθɛʔjuɑɹsikiŋɪznɑʔʌvɛlʌbl̩ɪmbʊks,ðɔpuuvθaiwaɾsiːkiŋe̞znaːɾavɛawbɔwemboks,ðəpɹufðætjuɑɹsikɪŋɪznɑtəvejləbəlɪnbʊks.,ðəpɹufðætjuɑɹsikɪŋɪznɑtəvejləbəlɪnbʊks.
/complete/dr6/fmju0/sa2.wav,doʊntæsmiɾɨkɛɹiənʔɔɪliɹæglaɪkðæt,dɑntæskmitəkæɹiænjliɹæɡlajkðæt,doʊnæskmiɾɪkæɹiɛnɔliɹæɡlaɪkðæt,d͡ʒoːnɛlsmirɯkajinɔrliwɒjɛɡlaːkʋaːr,dɑntæskmitəkæɹiænojliɹæɡlajkðæt.,dɑntæskmitəkæɹiænojliɹæɡlajkðæt.
/complete/dr6/fmju0/sx39.wav,bɑɹbzgoʊldbɹeɪslɨtwəzəgɹædʒueɪʃɨnpɹɛzɨnt,bɑɹbskowldbɹejslətwɑzðəɡɹæd͡ʒəejʃənpɹɛzənt,bɑbskʌldbɹeɪslɪʔwʌzʌɡɹædʒueɪʃn̩pɹɛzɛnʔ,pɔbsɡɔldbɔiswɨwɔzɡwad͡ʑwɛɕɨnprɛzɛn,bɑbzɡowldbɹejslətwɑzəɡɹæd͡ʒuejʃənpɹɛzənt.,bɑɹbzɡowldbɹejslətwɑzəɡɹæd͡ʒuejʃənpɹɛzənt.
/complete/dr6/fmju0/sx219.wav,nɑnpɹɑfɨtɔgənɨzeɪʃn̩shæfɹikwɨntfʌnɹeɪzɹ̩s,nɑnpɹɑfətɔɹɡənəzejʃənzhævfɹikwəntfʌnɹizɹ̩z,nɑnpɹɑfɪtɔɹɡʌnɛzeɪʃn̩zhævfɹikwɛntfʌnɹeɪzɹ̩s,nanpɾaːfɛroɡnɛzɛjɕɨnt͡savfɨjkuɨɲfɔnwɛzɛɾs,nɑnpɹɑfətɔɹɡənəzejʃənzhævfɹikwəntfʌndɹejzɹ̩z.,nɑnpɹɑfətɔɹɡənəzejʃənzhævfɹikwəntfʌndɹejzɹ̩z.
/complete/dr6/fmju0/sx399.wav,ðeɪɨsʉmnoʊbɹ̩glɚwl̩ʔɛvɚʔɛntɚɦiɹ̩,ðejəsumnowbɹ̩ɡlɹ̩wɪlɛvɹ̩ɛntɹ̩hɪɹ,ðeɪɪsumnoʊbʌɡlɹ̩wl̩ɛvɹ̩ɛntɹ̩hiɹ,ðɛjasuːmnɔwbawɡlɔɡo̞ɛvɛnt͡ʂɛhia,ðejəsumnowbɹ̩ɡlɹ̩wɪlɛvɹ̩ɛntɹ̩hɪɹ.,ðejəsumnowbɹ̩ɡlɹ̩wɪlɛvɹ̩ɛntɹ̩hɪɹ.
/complete/dr6/fmju0/si1389.wav,ʔeɪklɪliɹɛkəgnaɪzɨksɛpʃɨnʔɨzəstætʃətɔɹimɹ̩dʒɚʔɔɹkn̩sɑlɨdeɪʃɨn,əklɪɹliɹɛkəɡnajzɪksɛpʃənɪzəstæt͡ʃətɔɹimɹ̩d͡ʒɹ̩ɔɹkənsɑlədejʃən,eɪkliliɹɛkɪɡnaɪzɪksɛpʃɪnɪzɛstætʃʊtɔɹimɹ̩dʒɹ̩ɔɹkn̩sɑlʌdeɪʃʌn,e̞jkiɔwiwɛkɛɡnaːzukɯsɛpɕɨnizɛstaː͡ɨt͡ʂoːɾimɛ̃wd͡ʑuknsaɔde̞ːʂɨn,əklɪɹliɹɛkəɡnajzdɪksɛpʃənɪzəstæt͡ʃətɔɹimɹ̩d͡ʒɹ̩ɔɹkənsɑlədejʃən.,əklɪɹliɹɛkəɡnajzdɪksɛpʃənɪzəstæt͡ʃətɔɹimɹ̩d͡ʒɹ̩ɔɹkənsɑlədejʃən.
/complete/dr6/mjrk0/sx340.wav,dʌkshævwɛbdfitʔn̩kʌlɚfl̩fɛðɚs,dʌkshævwɛbdfitændkʌlɹ̩fəlfɛðɹ̩z,dʌkshævwɛbtfitɛnkʌlʌfl̩fɛðɹ̩s,dɒksɛvwɛbdfiːdenkɔwɾfufɛdɾs,dʌkshævwɛbdfitændkʌlɹ̩fəlfɛðɹ̩z.,dʌkshævwɛbdfitændkʌlɹ̩fəlfɛðɹ̩z.
/complete/dr6/mjrk0/sa2.wav,doʊɾ̃æsmiɾɨkɛɹiɨnɔɪliɹæglaɪkðæt,dɑntæskmitəkæɹiænoɔliɹæɡlajkðæt,doʊnæskmiɾɪkɛɹiɛnɔliɹæɡlaɪkðæt,dɑnaːʂkmiːrɯkejinɑilirɑɛɡläiktæːr,dɑntæskmitəkæɹiænojliɹæɡlajkðæt.,dɑntæskmitəkæɹiænojliɹæɡlajkðæt.
/complete/dr6/mjrk0/sx250.wav,ðbɔstn̩bæleɪʔoʊvəkeɪmðɛɹfʌndinʃɔɹɾɨdʒ,ðəbɑstənbælejowvɹ̩kejmðɛɹfʌndɪŋʃɔɹtəd͡ʒ,ðʌbɔstn̩bæleɪoʊvɹ̩keɪmnɛɹfʌndiŋʃɔɹɾɪdʒ,dɔbɔstɯnpɛleːio̞ːvɯkɛimnerfandinʃoːded͡ʑ,ðəbɑstənbælejowvɹ̩kejmðɛɹfʌndɪŋʃɔɹtəd͡ʒ.,ðəbɑstənbælejowvɹ̩kejmðɛɹfʌndɪŋʃɔɹtəd͡ʒ.
/complete/dr6/mjrk0/sx430.wav,ðoʊzhuɚnɑtpjɹ̩ɨsjʉzkænvɛdʒtəbl̩zwənmeɪkɨnstʉ,ðowzhuɑnɑtpjʊɹəsjuskænvɛd͡ʒtəbəlzwɛnmejkɪŋstu,ðoʊzhuwʌnɑtpjuɹɛsjuzkænvɛtʃtʌbl̩lzwʌnmeɪkiŋstu,dɔusɨwonaːkpjoɛɕjɯʐkɛjɛnvɛrʂtɨboːzwanmɛjkinstɨː,ðowzhuɑɹnɑtpjʊɹəstsjuskændvɛd͡ʒtəbəlzwɛnmejkɪŋstu.,ðowzhuɑɹnɑtpjʊɹəstsjuskændvɛd͡ʒtəbəlzwɛnmejkɪŋstu.
/complete/dr6/mjrk0/si2103.wav,sijuɨɾ̃əbaʊɾɨnaʊɚ,sijuɛnəbawtænawɹ̩,ʃijuwɛnʌbaʊɾʌnaʊɹ̩,ʂɯjuenpaonenaːwoɾ,sijuɪnəbawtænawɹ̩.,sijuɪnəbawtænawɹ̩.
/complete/dr6/mjrk0/sx160.wav,ɨzkoʊɔθɹ̩zwɨpɚzɛɾ̃ɨɾɑɹnʉbʊktəðəhɔɾiʔɔɾiɨnts,æzkowɔθɹ̩zwipɹizɛntədawɹ̩nubʊktəðəhɔtiɑdiəns,æskoʊlɔθɹ̩zwipɹɪzɛnɛɾɑɹnubʊktʌðʌhɔɾiɔɾiɛnts,ɛzkɔwaːθrɾzwɯipɾɨzɛneɾaɾnywboktɔðɑhɑɾiiɔɾjns,æzkow-ɔθɹ̩zwipɹizɛntədawɹ̩nubʊktəðəhɔtiɑdiəns.,æzkow-ɔθɹ̩zwipɹizɛntədawɹ̩nubʊktəðəhɔtiɑdiəns.
/complete/dr6/mjrk0/si880.wav,ðəɹɛvl̩ʉʃɨnaʊwəndəweɪɨnmɨtɪɹɨl̩zhænliŋmeɪksðɪsmʌtʃiziɚ,ðəɹɛvəluʃənawændəwejændmətɪɹiəlzhændliŋmejksðɪsmʌt͡ʃizi,ðʌɹɛvʌluʃɪnnaʊʌndʌweɪɪnmʌtɪɹɪʌl̩zhænlɪŋmeɪkssɪsmʌtʃiziɹ̩,dɔvɛvɔlɯːɕinæwandɨweːjenmɛtiɾjo̞zhɛjanluinme̞kse̞smat͡ʃizi,ðəɹɛvəluʃənnawʌndɹ̩wejɪnmətɪɹiəlzhændlɪŋmejksðɪsmʌt͡ʃiziɹ̩.,ðəɹɛvəluʃənnawʌndɹ̩wejɪnmətɪɹiəlzhændlɪŋmejksðɪsmʌt͡ʃiziɹ̩.
/complete/dr6/mjrk0/sx70.wav,dɪdʒʉwitjɛt,dɪdjuitjɛt,dɪdʒuitjɛt,te̞d͡ʑwiːdjɛɾ,dɪdjuitjɛt?,dɪdjuitjɛt?
/complete/dr6/mjrk0/si1662.wav,dɪɾɛɾ̃iwʌnsimaɪkæb,dɪdɛniwʌnsimajkæb,dɪɾɛniwʌnsimaɪkæb,dine̞niwo̞nʂɯmäike̞ɛb,dɪdɛniwʌnsimajkæb?,dɪdɛniwʌnsimajkæb?
/complete/dr6/mjrk0/sa1.wav,ʃiɦædʒɹ̩dɑɹksʉtʔə̥ŋgɹisiwɑʃwɔɾɚɔljɪɚ,ʃihædjɔɹdɑɹksutɪnɡɹisiwɑʃwɔtɹ̩ɔljɪɹ,ʃihædʒʒɹ̩dɑɹksutɪnɡɹisiwɑʃwɔɾɹ̩ɔljiɹ,ɕihæd͡ʑiɾdäːksɯːɾingwisiwäaːʃwäɾäujiːɾ,ʃihædjɔɹdɑɹksutɪnɡɹisiwɑʃwɔtɹ̩ɔljɪɹ.,ʃihædjɔɹdɑɹksutɪnɡɹisiwɑʃwɔtɹ̩ɔljɪɹ.
/complete/dr6/msjk0/sx66.wav,wɨgʌtdɹɛntʃfɹʌmðiʌɾ̃ɨntɚʌptɨdɹeɪn,wiɡɑtdɹænt͡ʃtfɹʌmðəʌnɪntɹ̩ʌptɪdɹejn,wiɡɑtdɹæntʃfɹʌmðiɑɾ̃ɛntɹ̩ʌptɪdɹeɪn,uigad͡ʑvand͡ʑiframðɨjanɨntraptɨdwɛjn,wiɡɑtdɹɛnt͡ʃtfɹʌmðəʌnɪntɹ̩ʌptɪdɹejn.,wiɡɑtdɹɛnt͡ʃtfɹʌmðəʌnɪntɹ̩ʌptɪddɹejn.
/complete/dr6/msjk0/si2226.wav,bʌtðɛnɹɛdɦɛdzɹ̩ɔfɨnpeɪl,bʌtðɛnɹɛdhɛdzɑɹɔfənpejl,bʌdðɛnɹɛɾhɛdzɑɹɔfʌnpeɪl,paɟðænvɛrhɛdzɒroɒfɨnpɛja,bʌtðɛnɹɛdhɛdzɑɹɔfənpejl.,bʌtðɛnɹɛdhɛdzɑɹɔfənpejl.
/complete/dr6/msjk0/si966.wav,ʔeɪʃɑptɹɛməwəzfɑlədbaɪɨdʒɹ̩kiɹoʊl,əʃɑptɹɛməwɑzfɑlowdbajəd͡ʒɹ̩kiɹow,eɪʃɑktɹɛmʌwʌzfɑlʌdbaɪɛdʒɹ̩kiɹoʊl,ɛjɕaːtrɛmwɔsfawɔlbajɑd͡ʑøkʲiwoː,əʃɑɹptɹɛmɹ̩wɑzfɑlowdbajəd͡ʒɹ̩kiɹowl.,əʃɑɹptɹɛmɹ̩wɑzfɑlowdbajəd͡ʒɹ̩kiɹowl.
/complete/dr6/msjk0/sa1.wav,ʃiɦædjɹ̩dɑksʉɾɨngɹisiwɑʃwɔɾɚʔɔljɪɚ,ʃihædjɔɹdɑksutɪnɡɹisiwɑʃwɔtɹ̩owljɪɹ,ʃihædjɹ̩dɑksuɾɪnɡɹisiwɔʃwɔɾɹ̩ɔljɪɹ,ʃihäːdjydäːksɯːde̞ngwisiuäːʃworo̞giː,ʃihædjɔɹdɑɹksutændɡɹisiwɑʃwɔtɹ̩ɔljɪɹ.,ʃihædjɔɹdɑɹksutændɡɹisiwɑʃwɔtɹ̩ɔljɪɹ.
/complete/dr6/msjk0/sx246.wav,haʊweɪtʃɨntɪzðɪsʌbweɪʔɛskɨleɪɾɚ,hawejd͡ʒəntɪzðəsʌbwejɛskəlejtɹ̩,haʊweɪtʃɛntɪzzɪsʌbweɪɛskʌleɪɾɹ̩,hɑwäjt͡ɕɯnte̞zde̞säbwaiɛskɨlairɯ,hawejnt͡ʃəntɪzðəsʌbwejɛskəlejtɹ̩?,hawejnt͡ʃəntɪzðɪssʌbwejɛskəlejtɹ̩?
/complete/dr6/msjk0/sx156.wav,ʔɑɹkspɛɹɨmɪnspɑzɨɾɨvaʊtkʌmwʌzʔʌɾ̃ɨkspɛktɨd,awɹ̩ɪkspɛɹəməntspɑzətɪvawlkʌmɑzʌnɪkspɛktəd,ɑɛkspɛɹʌmɛnspɑzɪɾʌvaʊtkʌmwʌzʌɾ̃ɛkspɛktɪd,hɑwrkspɛɻamɛnt͡sphaːzrvɛalkaːmuwɒzɑnekspɛted,awɹ̩ɪkspɛɹəmɛntzpɑzətɪvawtkʌmwɑzʌnɪkspɛktɪd.,awɹ̩ɪkspɛɹəmɛntzpɑzətɪvawtkʌmwɑzʌnɪkspɛktɪd.
/complete/dr6/msjk0/sx426.wav,ʔəmɔθzɪgzægdəlɔŋðəpæθθɹuʔɑɾoʊɨzgɑɹdn̩,əmɔɹfɪzɪɡzæɡəlɔŋðəpæθɹuɔtowɑzɡɑɹdən,ʌmɔθzɪɡzæɡdʌlɔŋðʌpæθθɹuɑɾʌwʌzɡɑɹdn̩,ɑmɑːtɔze̞ɡzæjaɡnɔlɔːŋdɛpɛaθθruarɒwøt͡sɡɒrn,əmɔθzɪɡzæɡdəlɔŋðəpæθθɹuɑtəwɑzɡɑɹdən.,əmɔθzɪɡzæɡdəlɔŋðəpæθθɹuɑtəwɑzɡɑɹdən.
/complete/dr6/msjk0/si1596.wav,pɹɑmptɨdbaɪɨgɪltiʔɹ̩dʒhiɦædɪsoʊbeɪdHiɔɾɚəvəmænhiɹɨspɛktɨd,pɹɑmptədbajəɡɪltiɹ̩d͡ʒhihædɪsowbejðəɔɹdɹ̩ʌvəmænhiɹɪspɛktɪd,pɹɑmptɪdbaɪɛɡɪltiɹ̩dʒhihæddɪsoʊbeɪdðiɔɾɹ̩ʌvʌmænhiɹispɛktɪd,pɾɔmtɯɟbaːjägiltuiørd͡ʑhihɛde̞so̞be̞idijo̞rɯɒvæmɛjænhivispɛktɨd,"pɹɑmptədbajəɡɪltiɹ̩d͡ʒ,hihæddɪsowbejdðəɔɹdɹ̩ʌvəmænhiɹɪspɛktɪd.","pɹɑmptədbajəɡɪltiɹ̩d͡ʒ,hihæddɪsowbejdðəɔɹdɹ̩ʌvəmænhiɹɪspɛktɪd."
